Pinyin,Wade-Giles,Romatzyh,Palladiy
аи,аи,аы,ай
аихао,аихао,аыхауо,ай хао
ба,па,ба,ба
баба,паба,бахба,ба ба
ба,па,бах,ба
баи,паи,баир,бай
баитиан,паитиен,баиртиан,бай тянь
баи,паи,бае,бай
бан,пан,бан,бань
бан,пан,банн,бань
банниан,панниен,баннниан,бань нянь
бантиан,пантиен,баннтиан,бань тянь
банг,панг,банг,бан
бангманг,пангманг,бангманг,бан ман
бао,пао,бау,бао
баози,паози,баузи,бао цзы
беи,пеи,беи,бэй
беизи,пеизи,беизи,бэй цзы
беи,пеи,бееи,бэй
беибиан,пеипиен,бееибиан,бэй бянь
беийинг,пеичинг,бееийинг,бэй цзин
бен,пен,беен,бэнь
бензи,пензи,беензи,бэнь цзы
би,пи,бии,би
бие,пиех,бые,бе
биеде,пиехде,быеде,бе дэ
бинг,пинг,бинк,бин
бингрен,пингйен,бинкрен,бин жэнь
бу,пу,бух,бу
цаи,цаи,цаы,цай
ча,ча,чар,ча
ча,ча,чах,ча
чанг,чанг,чарнг,чан
чангчанг,чангчанг,чарнгчарнг,чан чан
чанг,чанг,чанк,чан
чангге,чангко,чанкге,чан гэ
че,че,че,чэ
чепиао,чепиао,чепиауо,чэ пяо
чешанг,чешанг,чешанк,чэ шан
чежан,чечан,чеянн,чэ чжань
чи,чих,чы,чи
чифан,чихфан,чыфанн,чи фань
чу,чу,чу,чу
чулаи,чулаи,чулаи,чу лай
чуку,чучу,чучиух,чу цюй
чуан,чуан,чуан,чуань
чуанг,чуанг,чуоанг,чуан
ци,тзу,цых,цы
цонг,цунг,цорнг,цун
цуо,цо,цуох,цо
даче,таче,дааче,чэ да
дадианхуа,татиенхуа,даадианнхуах,да дянь хуа
дакаи,такаи,даакаи,да кай
дакиу,тачиу,даачыоу,да цю
да,та,дах,да
даxуе,тахсуех,дахшыуе,да сюэ
даxуешенг,тахсуехшенг,дахшыуешенг,да шэн сюэ
дао,тао,дауо,дао
дедао,тетао,дердауо,дао дэ
де,де,де,ди
де,де,де,дэ
денг,тенг,деенг,дэн
ди,ти,дих,ди
дидиан,титиен,дихдеан,ди дянь
диту,титу,дихтуоу,ди ту
диди,тиди,дихди,ди ди
ди,ти,дих,ди
ди,ти,дих,ди
диан,тиен,деан,дянь
диан,тиен,дианн,дянь
дианхуа,тиенхуа,дианнхуах,дянь хуа
дианнао,тиеннао,дианннао,дянь нао
дианши,тиенших,дианншых,дянь ши
дианшийи,тиеншихчи,дианншыхйи,дянь цзи ши
дианыинг,тиеныинг,дианныиинг,дянь ин
дианыингыуан,тиеныингыуан,дианныиингыуанн,дянь ин юань
донг,тунг,донг,дун
донг,тунг,донк,дун
донгзуо,тунгцо,донктзуох,дун цзо
доу,тоу,доу,ду
ду,ту,дуоу,ду
душу,тушу,дуоушу,ду шу
дуи,туи,дуеы,дуй
дуибуки,туибучи,дуеыбучии,бу дуй ци
дуо,то,дуо,до
е,е,ех,э
ерзи,ерхзи,ерлзи,эр цзы
ер,ерх,елл,эр
фан,фан,фанн,фань
фандиан,фантиен,фанндианн,дянь фань
фангйиан,фангчиен,фарнгйиан,фан цзянь
фангзи,фангзи,фарнгзи,фан цзы
фанг,фанг,фанк,фан
фангйиа,фангчиа,фанкйиах,фан цзя
фангxуе,фангхсуех,фанкшыуе,фан сюэ
феи,феи,феи,фэй
феийи,феичи,феийи,фэй цзи
феичанг,феичанг,феичарнг,чан фэй
фен,фен,фен,фэнь
