0,5
爱,аи
爱好,аи хао
八,ба
爸爸,ба ба
爸,ба
白,баи
白天,баи тиан
百,баи
班,бан
半,бан
半年,бан ниан
半天,бан тиан
帮,банг
帮忙,банг манг
包,бао
包子,бао зи
杯,беи
杯子,беи зи
北,беи
北边,беи биан
北京,беи йинг
本,бен
本子,бен зи
比,би
别,бие
别的,бие де
病,бинг
病人,бинг рен
不,бу
菜,цаи
茶,ча
差,ча
常,чанг
常常,чанг чанг
唱,чанг
唱歌,чанг ге
车,че
车票,че пиао
车上,че шанг
车站,че чан
吃,чи
吃饭,чи фан
出,чу
出来,чу лаи
出去,чу чу
穿,чуан
床,чуанг
次,цы
从,цонг
错,цуо
打车,да че
打电话,да диан хуа
打开,да каи
打球,да чиу
大,да
大学,да xуу
大学生,да xуу шенг
到,дао
得到,де дао
地,ди
的,де
等,денг
地,ди
地点,ди диан
地图,ди ту
弟弟,ди ди
弟,ди
第,ди
点,диан
电,диан
电话,диан хуа
电脑,диан нао
电视,диан ши
电视机,диан ши йи
电影,диан ыинг
电影院,диан ыинг ыуан
东,донг
动,донг
动作,донг цзо
都,ду
读,ду
读书,ду шу
对,дуи
对不起,дуи бу чи
多,ду
饿,ее
儿子,ер зи
二,ер
饭,фан
饭店,фан диан
房间,фанг йиан
房子,фанг зи
放,фанг
放假,фанг йиа
放学,фанг xуу
飞,феи
飞机,феи йи
非常,феи чанг
分,фен
风,фенг
干,ган
干净,ган йинг
干什么,ган ши ме
高,гао
高兴,гао xинг
哥哥,ге ге
哥,ге
歌,ге
个,ге
给,геи
跟,ген
工人,гонг рен
工作,гонг цзо
关,гуан
关上,гуан шанг
贵,гуе
国,гуо
国家,гуо йиа
国外,гуо уоаи
还是,хуан ши
还有,хуан ыо
孩子,хаи зи
汉语,хан ыу
汉字,хан тзы
好,хао
好吃,хао чи
好看,хао кан
好听,хао тинг
好玩儿,хао уоан рр
号,хао
喝,хе
和,хе
很,хен
后,хоу
后天,хоу тиан
花,хуа
话,хуа
坏,хуаи
还,хуан
回,хуи
回答,хуи да
回到,хуи дао
回家,хуи йиа
会,хуи
火车,хуо че
机场,йи чанг
机票,йи пиао
鸡蛋,йи дан
几,йи
记,йи
家,йиа
家里,йиа ли
家人,йиа рен
间,йиан
见,йиан
见面,йиан миан
教,йиао
叫,йиао
教学楼,йиао xуу лоу
姐姐,йие йие
介绍,йие шао
今年,йин ниан
今天,йин тиан
进,йин
进来,йин лаи
进去,йин чу
九,йиу
就,йиу
觉得,юе де
开,каи
开车,каи че
开会,каи хуи
开玩笑,каи уоан xиао
看病,кан бинг
看到,кан дао
看见,кан йиан
考,као
考试,као ши
渴,ке
课,ке
课本,ке бен
课文,ке уоен
口,коу
块,куаи
快,куаи
来,лаи
来到,лаи дао
老,лао
老人,лао рен
老师,лао ши
了,ле
累,леи
冷,ленг
里,ли
两,лиан
零,линг
六,лиу
楼,лоу
楼上,лоу шанг
楼下,лоу xиа
路,лу
路口,лу коу
妈妈,ма ма
妈,ма
马路,ма лу
马上,ма шанг
买,маи
慢,ман
忙,манг
毛,мао
没,меи
没关系,меи гуан xи
没什么,меи ши ме
没事儿,меи ши рр
没有,меи ыо
妹妹,меи меи
妹,меи
门,мен
门口,мен коу
门票,мен пиао
米饭,ми фан
面包,миан бао
面条儿,миан тиао рр
名字,минг зи
明白,минг баи
明年,минг ниан
明天,минг тиан
拿,на
哪,на
哪里,на ли
哪儿,на рр
哪些,на xие
那儿,на рр
那些,на xие
奶,наи
奶奶,наи наи
男孩儿,нан хаи рр
男生,нан шен
呢,ни
能,ненг
你,ни
你们,ни мен
年,ниан
您,нин
牛奶,ниу наи
旁边,панг биан
朋友,пенг ыо
票,пиао
七,чи
起,чи
起床,чи чуанг
汽车,чи че
前,чиан
前天,чиан тиан
钱,чиан
钱包,чиан бао
请,чинг
请假,чинг йиа
请进,чинг йин
请问,чинг уоен
请坐,чинг цзо
球,чиу
去,чу
去年,чу ниан
热,ре
人,рен
认识,рен ши
认真,рен чен
日,ри
日期,ри чи
肉,роу
三,сан
山,шан
商场,шанг чанг
商店,шанг диан
上,шанг
上班,шанг бан
上车,шанг че
上次,шанг цы
上课,шанг ке
上网,шанг уоанг
上午,шанг уоу
上学,шанг xуу
少,шао
谁,шуи
身体,шен ти
什么,ши ме
生病,шенг бинг
生气,шенг чи
生日,шенг ри
十,ши
时候,ши хоу
时间,ши йиан
事,ши
试,ши
是,ши
手,шоу
手机,шоу йи
书,шу
书包,шу бао
书店,шу диан
树,шу
水,шуи
水果,шуи гуо
睡,шуи
睡觉,шуи юиа
说话,шуо хуа
四,сы
送,сонг
岁,суи
他,та
他们,та мен
她,та
她们,та мен
太,таи
天,тиан
天气,тиан чи
听,тинг
听到,тинг дао
听见,тинг йиан
听写,тинг xие
同学,тонг xуу
图书馆,ту шу гуан
外,уоаи
外国,уоаи гуо
外语,уоаи ыу
玩儿,уоан рр
晚,уоан
晚饭,уоан фан
晚上,уоан шанг
网上,уоанг шанг
网友,уоанг ыо
忘,уоан
忘记,уоан йи
问,уоен
我,уоо
我们,уоо мен
五,уоу
午饭,уоу фан
西,xи
西边,xи биан
洗,xи
洗手间,xи шоу йиан
喜欢,xи хуан
下,xиа
下班,xиа бан
下车,xиа че
下次,xиа цы
下课,xиа ке
下午,xиа уоу
下雨,xиа ыу
先,xиан
先生,xиан шенг
现在,xиан цаи
想,xианг
小,xиао
小孩儿,xиао хаи рр
小朋友,xиао пенг ыо
小时,xиао ши
小学,xиао xуу
小学生,xиао xуу шенг
笑,xиао
写,xие
谢谢,xие xие
新,xин
新年,xин ниан
星期,xинг чи
星期日,xинг чи ри
星期天,xинг чи тиан
行,xинг
休息,xиу xи
学,xуу
学生,xуу шенг
学习,xуу xи
学校,xуу xиао
学院,xуу ыуан
要,ыао
爷爷,ые ые
也,ые
页,ые
一,ии
衣服,ии фу
医生,ии шенг
医院,ии ыуан
一点儿,ии диан рр
用,ыонг
有,ыо
有的,ыо де
有名,ыо минг
有些,ыо xие
有用,ыо ыонг
右,ыо
右边,ыо биан
雨,ыу
元,ыуан
远,ыуан
月,ыуе
再,цаи
再见,цаи йиан
在,цаи
在家,цаи йиа
早,цао
早饭,цао фан
早上,цао шанг
怎么,цен ме
站,чан
找,чао
找到,чао дао
这,че
这边,че биан
这里,че ли
这儿,че рр
这些,че xие
真,чен
真的,чен де
正,ченг
正在,ченг цаи
知道,чи дао
知识,чи ши
中,чонг
中国,чонг гуо
中间,чонг йиан
中文,чонг уоен
中午,чонг уоу
中学,чонг xуу
中学生,чонг xуу шенг
重要,чонг ыао
住,чу
准备,чун беи
桌子,чо зи
字,тзы
走,цоу
走路,цоу лу
最,цуи
最好,цуи хао
最后,цуи хоу
昨天,цзо тиан
左,цзо
左边,цзо биан
坐,цзо
爱情,аи чинг
安静,ан йинг
安全,ан чуан
白色,баи се
班长,бан чанг
办,бан
办法,бан фа
办公室,бан гонг ши
半夜,бан ые
帮助,банг чу
饱,бао
报名,бао минг
报纸,бао чи
北方,беи фанг
背,беи
比如,би ру
比如说,би ру шуо
笔,би
笔记,би йи
笔记本,би йи бен
必须,би xуу
边,биан
变,биан
变成,биан ченг
遍,биан
表,биао
表示,биао ши
不久,бу йиу
不满,бу ман
不如,бу ру
不少,бу шао
不同,бу тонг
不行,бу xинг
不一定,бу ии динг
部分,бу фен
才,цаи
菜单,цаи дан
参观,цан гуан
参加,цан йиа
草,цао
草地,цао ди
层,ценг
查,ча
差不多,ча бу ду
长,чанг
常见,чанг йиан
常用,чанг ыонг
超过,чао гуо
超市,чао ши
车辆,че лиан
称,ченг
成,ченг
成绩,ченг йи
成为,ченг уоеи
重复,чонг фу
重新,чонг xин
出发,чу фа
出国,чу гуо
出口,чу коу
出门,чу мен
出生,чу шенг
出现,чу xиан
出院,чу ыуан
出租,чу цу
出租车,чу цу че
船,чуан
吹,чуи
春节,чун йие
春天,чун тиан
词,цы
词典,цы диан
词语,цы ыу
从小,цонг xиао
答应,да ыинг
打工,да гонг
打算,да суан
打印,да ыин
大大,да да
大多数,да ду шу
大海,да хаи
大家,да йиа
大量,да лиан
大门,да мен
大声,да шенг
大小,да xиао
大衣,да ии
大自然,да тзы ран
带,даи
带来,даи лаи
单位,дан уоеи
但,дан
但是,дан ши
蛋,дан
当,данг
当时,данг ши
倒,дао
到处,дао чу
倒,дао
道,дао
道路,дао лу
得,де
得出,де чу
的话,де хуа
得,де
灯,денг
等,денг
等到,денг дао
等于,денг ыу
低,ди
地球,ди чиу
地铁,ди тие
地铁站,ди тие чан
点头,диан тоу
店,диан
掉,диао
东北,донг беи
东方,донг фанг
东南,донг на
冬天,донг тиан
懂,донг
懂得,донг де
动物,донг уоу
动物园,донг уоу ыуан
读音,ду ыин
度,ду
短,дуан
短信,дуан xинн
段,дуан
队,дуи
队长,дуи чанг
对,дуи
对话,дуи хуа
对面,дуи миан
多,ду
多久,ду йиу
多么,ду ме
多数,ду шу
多云,ду ыун
而且,ер чие
发,фа
发现,фа xиан
饭馆,фан гуан
方便,фанг биан
方便面,фанг биан миан
方法,фанг фа
方面,фанг миан
方向,фанг xианг
放下,фанг xиа
放心,фанг xин
分,фен
分开,фен каи
分数,фен шу
分钟,фен чонг
份,фен
封,фенг
服务,фу уоу
复习,фу xи
该,гаи
改,гаи
改变,гаи биан
干杯,ган беи
感到,ган дао
感动,ган донг
感觉,ган юе
感谢,ган xие
干活儿,ган хуо рр
刚,ганг
刚才,ганг цаи
高级,гао йи
高中,гао чонг
个子,ге зи
公共汽车,гонг гонг чи че
公交车,гонг йиао че
公斤,гонг йин
公里,гонг ли
公路,гонг лу
公平,гонг пинг
公司,гонг сы
公园,гонг ыуан
狗,гоу
够,гоу
故意,гу ыи
顾客,гу ке
关机,гуан йи
关心,гуан xин
观点,гуан диан
广场,гуанг чанг
广告,гуанг гао
国际,гуо йи
过来,гуо лаи
过年,гуо ниан
过去,гуо чу
海,хаи
海边,хаи биан
喊,хан
好,хао
好多,хао ду
好久,хао йиу
好人,хао рен
好事,хао ши
好像,хао xианг
合适,хе ши
河,хе
黑,хеи
黑板,хеи бан
黑色,хеи се
红,хонг
红色,хонг се
后来,хоу лаи
忽然,ху ран
湖,ху
护照,ху чао
花,хуа
花园,хуа ыуан
画,хуа
画家,хуа йиа
画儿,хуа рр
坏人,хуаи рен
欢迎,хуан ыин
换,хуан
黄,хуанг
黄色,хуанг се
回,хуи
回国,хуи гуо
会,хуи
活动,хуо донг
或,хуо
或者,хуо че
机会,йи хуи
鸡,йи
级,йи
急,йи
计划,йи хуа
计算机,йи суан йи
加,йиа
加油,йиа ыо
家,йиа
家庭,йиа тинг
家长,йиа чанг
假,йиа
假期,йиа чи
检查,йиан ча
见到,йиан дао
见过,йианг гг
件,йиан
健康,йиан канг
讲,йианг
讲话,йианг хуа
交,йиао
交给,йиао геи
交通,йиао тонг
角,йиао
角度,йиао ду
饺子,йиао зи
脚,йиао
叫作,йиао цзо
教师,йиао ши
教室,йиао ши
教育,йиао ыу
接,йие
接到,йие дао
接受,йие шоу
接下来,йие xиа лаи
接着,йие же
街,йие
节,йие
节目,йие му
节日,йие ри
借,йие
斤,йин
今后,йин хоу
进入,йин ру
进行,йин xинг
近,йин
经常,йинг чанг
经过,йинг гуо
经理,йинг ли
酒,йиу
酒店,йиу диан
就要,йиу ыао
举,юю
举手,юю шоу
举行,юю xинг
句,юю
句子,юю зи
卡,ка
开机,каи йи
开心,каи xин
开学,каи xуу
看法,кан фа
考生,као шенг
靠,као
科,ке
科学,ке xуу
可爱,ке аи
可能,ке ненг
可怕,ке па
可是,ке ши
可以,ке ыи
克,ке
刻,ке
客人,ке рен
课堂,ке танг
空气,конг чи
哭,ку
快餐,куаи цан
快点儿,куаи диан рр
快乐,куаи ле
快要,куаи ыао
筷子,куаи зи
拉,ла
来自,лаи тзы
蓝,лан
蓝色,лан се
篮球,лан чиу
老,лао
老,лао
老年,лао ниан
离,ли
离开,ли каи
礼物,ли уоу
里头,ли тоу
理想,ли xианг
例如,ли ру
例子,ли зи
脸,лиан
练,лиан
练习,лиан xи
凉,лиан
凉快,лиан куаи
两,лиан
亮,лиан
辆,лиан
零下,линг xиа
留,лиу
留下,лиу xиа
留学生,лиу xуу шенг
流,лиу
流利,лиу ли
流行,лиу xинг
路边,лу биан
卖,маи
满,ман
满意,ман ыи
猫,мао
米,ми
面前,миан чиан
名,минг
名称,минг ченг
名单,минг дан
明星,минг xинг
目的,му ди
拿出,на чу
拿到,на дао
那会儿,на хуи рр
那么,на ме
那时候,на ши хоу
那样,на ыанг
南方,нан фан
难过,нан гуо
难看,нан кан
难受,нан шоу
难题,нан ти
难听,нан тин
能够,ненг гоу
年级,ниан йи
年轻,ниан чинг
努力,ну ли
爬,па
爬山,па шан
怕,па
排,паи
排队,паи дуи
排球,паи чиу
碰,пенг
碰到,пенг дао
碰见,пенг йиан
篇,пиан
片,пиан
漂亮,пиао лиан
平,пинг
平安,пинг ан
平常,пинг чанг
平等,пинг денг
平时,пинг ши
瓶,пинг
瓶子,пинг зи
普通,пу тонг
普通话,пу тонг хуа
其他,чи та
其中,чи чонг
骑,чи
骑车,чи че
起飞,чи феи
气,чи
气温,чи уоен
千,чиан
千克,чиан ке
前年,чиан ниан
墙,чиан
青年,чинг ниан
青少年,чинг шао ниан
轻,чинг
清楚,чинг чу
晴,чинг
晴天,чинг тиан
请客,чинг ке
请求,чинг чиу
秋天,чиу тиан
求,чиу
球场,чиу чанг
球队,чиу дуи
球鞋,чиу xие
取,чу
取得,чу де
全,чуан
全部,чуан бу
全国,чуан гуо
全家,чуан йиа
全年,чуан ниан
全身,чуан шен
全体,чуан ти
然后,ран хоу
让,ран
热情,ре чинг
人口,рен коу
人们,рен мен
人数,рен шу
认为,рен уоеи
日报,ри бао
日子,ри зи
如果,ру гуо
入口,ру коу
商量,шанг лиан
商人,шанг рен
上周,шанг чоу
少数,шао шу
少年,шао ниан
身边,шен биан
什么样,ши ме ыанг
生,шенг
生词,шенг цы
生活,шенг хуо
声音,шенг ыин
省,шенг
省,шенг
十分,ши фен
实际,ши йи
实习,ши xи
实现,ши xиан
实在,ши цаи
食物,ши уоу
使用,ши ыонг
市,ши
市长,ши чанг
事情,ши кинг
收,шоу
收到,шоу дао
收入,шоу ру
手表,шоу биао
受到,шоу дао
舒服,шу фу
熟,шу
数,шу
数字,шу тзы
水平,шуи пинг
顺利,шун ли
说明,шуо минг
司机,сы йи
送到,сонг дао
送给,сонг геи
算,суан
虽然,суи ран
随便,суи биан
随时,суи ши
所以,суо ыи
所有,суо ыо
它,та
它们,та мен
太太,таи таи
态度,таи ду
讨论,тао лун
套,тао
特别,те бие
特点,те диан
疼,тенг
提,ти
提出,ти чу
提到,ти дао
提高,ти гао
题,ти
体育,ти ыу
体育场,ти ыу чанг
体育馆,ти ыу гуан
天上,тиан шанг
条,тиао
条件,тиао йиан
听讲,тинг йианг
听说,тинг шуо
停,тинг
停车,тинг че
停车场,тинг че чанг
挺,тинг
挺好,тинг хао
通,тонг
通过,тонг гуо
通知,тонг чи
同时,тонг ши
同事,тонг ши
同样,тонг ыанг
头,тоу
头,тоу
头发,тоу фа
图片,ту пиан
推,туи
腿,туи
外地,уоаи ди
外卖,уоаи маи
完,уоан
完成,уоан ченг
完全,уоан чуан
晚安,уоан ан
晚报,уоан бао
晚餐,уоан цан
晚会,уоан хуи
碗,уоан
网,уоанг
网球,уоанг чиу
网站,уоанг чан
往,уоанг
为,уоеи
为什么,уоеи ши ме
位,уоеи
喂,уоеи
温度,уоен ду
闻,уоен
问路,уоен лу
问题,уоен ти
午餐,уоу цан
午睡,уоу шуи
西北,xи беи
西餐,xи цан
西方,xи фанг
西南,xи на
西医,xи ии
习惯,xи гуан
洗衣机,xи ии йи
洗澡,xи цао
下,xиа
下雪,xиа xуу
下周,xиа чоу
夏天,xиа тиан
相同,xианг тонг
相信,xианг xинн
响,xианг
想到,xианг дао
想法,xианг фа
想起,xианг чи
向,xианг
相机,xианг йи
像,xианг
小,xиао
小声,xиао шенг
小时候,xиао ши хоу
小说,xиао шуо
小心,xиао xин
小组,xиао цу
校园,xиао ыуан
校长,xиао чанг
笑话,xиао хуа
鞋,xие
心里,xин ли
心情,xин чинг
心中,xин чонг
新闻,xин уоен
信,xинн
信号,xинн хао
信息,xинн xи
信心,xинн xин
信用卡,xинн ыонг ка
星星,xинг xинг
行动,xинг донг
行人,xинг рен
行为,xинг уоеи
姓,xинг
姓名,xинг минг
休假,xиу йиа
许多,xуу ду
选,xуанн
学期,xуу чи
雪,xуу
颜色,ыан се
眼,ыан
眼睛,ыан йинг
养,ыанг
样子,ыанг зи
要求,ыао чиу
药,ыао
药店,ыао диан
药片,ыао пиан
药水,ыао шуи
也许,ые xуу
夜,ые
已经,ыи йинг
以后,ыи хоу
以前,ыи чиан
以上,ыи шанг
以外,ыи уоаи
以为,ыи уоеи
以下,ыи xиа
椅子,ыи зи
亿,ыи
意见,ыи йиан
意思,ыи си
因为,ыин уоеи
阴,ыин
阴天,ыин тиан
音节,ыин йие
音乐,ыин лу
音乐会,ыин лу хуи
银行,ыин хинг
银行卡,ыин хинг ка
应该,ыин гаи
英文,ыин уоен
英语,ыин ыу
影片,ыинг пиан
影响,ыинг xианг
永远,ыонг ыуан
油,ыо
游客,ыо ке
友好,ыо хао
有人,ыо рен
有点儿,ыо диан рр
有意思,ыо ыи си
又,ыо
鱼,ыу
语言,ыу ыан
原来,ыуан лаи
原因,ыуан ыин
院,ыуан
院长,ыуан чанг
院子,ыуан зи
愿意,ыуан ыи
月份,ыуе фен
月亮,ыуе лиан
越,ыуе
越来越,ыуе лаи ыуе
云,ыун
运动,ыун донг
咱,цан
咱们,цан мен
早餐,цао цан
早晨,цао чен
早就,цао йиу
怎么办,цен ме бан
怎么样,цен ме ыанг
怎样,цен ыанг
占,чан
站,чан
站住,чан чу
长,чанг
长大,чанг да
找出,чао чу
照片,чао пиан
照相,чао xианг
这么,че ме
这样,че ыанг
真正,чен ченг
正常,ченг чанг
正好,ченг хао
正确,ченг чуе
正是,ченг ши
直接,чи йие
只,чи
只能,чи ненг
只要,чи ыао
纸,чи
中餐,чонг цан
中级,чонг йи
中年,чонг ниан
中小学,чонг xиао xуу
中心,чонг xин
中医,чонг ии
重视,чонг ши
周,чоу
周末,чоу мо
周年,чоу ниан
主人,чу рен
主要,чу ыао
住房,чу фанг
住院,чу ыуан
装,чуанг
准确,чун чуе
自己,тзы йи
自行车,тзы xинг че
自由,тзы ыо
字典,тзы диан
走过,цоу гуо
走进,цоу йин
走开,цоу каи
租,цу
组,цу
组成,цу ченг
组长,цу чанг
嘴,цуи
最近,цуи йин
作家,цзо йиа
作文,цзо уоен
作业,цзо ые
作用,цзо ыонг
座,цзо
座位,цзо уоеи
做到,цзо дао
做法,цзо фа
爱心,аи xин
安排,ан паи
安装,ан чуанг
按,ан
按照,ан чао
把,ба
把,ба
把握,ба уоо
白,баи
白菜,баи цаи
班级,бан йи
搬,бан
搬家,бан йиа
板,бан
办理,бан ли
保,бао
保安,бао ан
保持,бао чи
保存,бао цун
保护,бао ху
保留,бао лиу
保险,бао xиан
保证,бао ченг
报,бао
报到,бао дао
报道,бао дао
报告,бао гао
背,беи
北部,беи бу
背,беи
背后,беи хоу
被,беи
被子,беи зи
本来,бен лаи
本领,бен линг
比较,би йиао
比例,би ли
比赛,би саи
必然,би ран
必要,би ыао
变化,биан хуа
变为,биан уоеи
标题,биао ти
标准,биао чун
表达,биао да
表格,биао ге
表面,биао миан
表明,биао минг
表现,биао xиан
表演,биао ыан
并,бинг
并且,бинг чие
播出,бо чу
播放,бо фанг
补,бу
补充,бу чонг
不安,бу ан
不得不,бу де бу
不光,бу гуанг
不仅,бу йин
布,бу
步,бу
部,бу
部门,бу мен
部长,бу чанг
才能,цаи ненг
